Laptop Asus VivoBook 15 OLED A1505VA-L1114W;https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_ng_n_1__1_120.png;"Màn hình 15.6 inch tấm nền OLED cho khả năng tái tạo hoàn hảo|
CPU Intel Core i5-13500H mạnh mẽ có thể xử lý mượt mà mọi tác vụ|
Card Intel UHD cho trải nghiệm giải trí cao|
RAM 16 GB chạy đa ứng dụng mượt mà không lo giật, lag|
Ổ cứng SSD 512 GB cho tốc độ truy xuất dữ liệu nhanh, không gian lưu trữ đủ lớn";"Loại card đồ họa    Intel Iris Xe Graphics|
Dung lượng RAM    16GB|
Loại RAM    DDR4|
Số khe ram    2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM)|
Ổ cứng    512GB M.2 NVMe PCIe 3.0 SSD|
Kích thước màn hình    15.6 inches|
Độ phân giải màn hình    1920 x 1080 pixels (FullHD)|
Hệ điều hành    Windows 11 Home|
Công nghệ màn hình    Thời gian phản hồi 0.2ms. Tần số quét 60Hz. Độ sáng tối đa 600nits HDR. Độ phủ màu 100% DCI-P3Display HDR True Black 6001.07 tỷ màuTÜV Rheinland-certifiedSGS Eye Care Display|
Cổng giao tiếp    1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C (Sạc) 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in|
Pin    50WHrs, 3S1P, 3-cell Li-ion|";14590000;1;1
;Laptop Lenovo Ideapad Gaming 3 15IAH7 82S9006YVN;https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/e/g/egtg.jpg;"Cấu hình chơi game và đồ họa đỉnh cao, cân mọi tựa game - Core i5-12500H cùng card rời RTX 3050.|
Có khả năng chỉnh sửa hình ảnh trên PTS, Render video cực tốt.|
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.|
Màn hình Full HD, tần số quét 120Hz kích thước 15.6 inch, tấm nền IPS, 250 nits, chống chói, độ phủ màu 45% NTSC.|
Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái.|
Bàn phím được tích hợp đèn - Thoả sức chiến game trong môi trường thiếu sáng|
Bảo mật an toàn, hiện đại - Phần mềm cơ sở TPM 2.0, màn trập riêng tư của máy ảnh|
Máy đi kèm Windows 11 bản quyền.";"Loại card đồ họa    NVIDIA GeForce RTX 3050|
Dung lượng RAM    8GB|
Loại RAM    DDR4-3200|
Ổ cứng    512GB SSD M.2 2242 PCIe 4.0x4 NVMe|
Kích thước màn hình    15.6 inches|
Độ phân giải màn hình    1920 x 1080 pixels (FullHD)|
Hệ điều hành    Windows 11|
Công nghệ màn hình    IPS 250nits Chống chói, 120Hz, 45% NTSC, điều chỉnh độ sáng DC|
Cổng giao tiếp    2x USB 3.2 Thế hệ 1  1x HDMI 2.0  1x Ethernet (RJ-45)  1 x giắc cắm kết hợp tai nghe / micrô (3,5 mm)  1x Đầu nối nguồn|
Pin    60Wh|";14590000;1;1
;Laptop ASUS Gaming ROG Zephyrus G14 GA401QC-K2199W;https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/1/11h53.png;"Tích hợp card đồ họa Geforce RTX 3050 siêu chiến cùng con chip R7-5800HS - Không ngại các tác vụ 3D nặng nề, phù hợp với game thủ hay dân đồ hoạ chuyên nghiệp|
Ram 8GB với 1 khe cắm có thể nâng cấp tối đa lên 24GB cùng ổ cứng SSD có không gian lưu trữ lên tới 512GB cho tốc độ xử lý mượt mà, nhanh chóng, đa nhiệm|
Độ phân giải WQHD kết hợp cùng công nghệ Adaptive-Sync và màn hình 14.0 inches 120Hz siêu lớn mang lại trải nghiệm hình ảnh, màu sắc tuyệt vời|
Trang bị công nghệ Smart Amp Technology siêu hiện đại giúp tận hưởng bữa tiệc âm thanh trọn vẹn|
Bàn phím được tích hợp đèn LED đơn sắc giúp thỏa sức làm việc trong môi trường thiếu sáng|
Năng suất nguyên ngày chỉ với 4 pin Li-ion 76WHrs|
Thiết kế vỏ nhựa cứng cáp, trọng lượng máy chỉ 1.60 kg thuận tiện mang theo và di chuyển|
Máy đi kèm Windows 11 bản quyền";"Loại card đồ họa    NVIDIA GeForce RTX 3050|
Dung lượng RAM    8GB|
Loại RAM    DDR4|
Số khe ram    1 khe cắm onboard, 1 khe cắm rời hỗ trợ tối đa 24GB|
Ổ cứng    512GB M.2 NVMe™ PCIe® 3.0 SSD|
Kích thước màn hình    14 inches|
Độ phân giải màn hình    2560 x 1440 pixels (2K)|
Hệ điều hành    Windows 11 Home SL|
Công nghệ màn hình    Tần số quét 120Hz  Độ sáng 300nits  Tỷ lệ tương phản 1:1000  Hỗ trợ dải màu 100.00% DCI-P3  Màn hình chống chói  Công nghệ Adaptive-Sync|
Cổng giao tiếp    1x USB 3.2 Gen 2 Type-C   1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™ / power delivery / G-SYNC  2x USB 3.2 Gen 1 Type-A  1x Combo jack tai nghe 3.5mm  1x HDMI 2.0b|
Pin    76WHrs, 4S1P, 4-cell Li-ion|";23490000;1;1
;Laptop Asus Gaming ROG Zephyrus G16 GU603VU-N3898W;https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_d_i_13_.png;"CPU I7-13620H cho phép bạn chiến thỏa thích các tựa game nặng máy như AAA|
Ổ cứng  SSD 512Gb có không gian lưu trữ to lớn, giúp bạn được thuận lợi hơn trong công việc|
RAM 16GB cho biết thao tác nhiều lúc các tab mà không lo nóng máy, load chậm|
Màn hình 16 inch cùng độ phủ màu sRGB 100% cho phép bạn trải nghiệm được đồ họa, hình ảnh sắc nét cao trong game|
Bàn phím Chiclet có đèn nền RGB giúp bạn tự tin làm việc trong môi trường thiếu sáng";"Loại card đồ họa    NVIDIA GeForce RTX 4050|
Dung lượng RAM    16GB|
Loại RAM    DDR4|
Số khe ram    1 khe so-dimm (nâng cấp tối đa 48GB)|
Ổ cứng    512GB PCIe 4.0 NVMe M.2 SSD|
Kích thước màn hình    16 inches|
Độ phân giải màn hình    1920 x 1200 pixels (WUXGA)|
Hệ điều hành    Windows 11 Home|
Công nghệ màn hình    Độ sáng tối đa 250nits Độ phủ màu sRGB 100% Công nghệ xử lý hình ảnh HDR|
Cổng giao tiếp    1x Thunderbolt 4 1x USB 3.2 Gen 2 Type-C 1x HDMI 2.1 FRL 1x Jack cắm tai nghe|
Pin    90WHrs, 4-cell Li-ion|";37990000;1;1
;Laptop Lenovo Gaming Legion 5 15ACH6H 82JU00DGVN;https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/e/text_d_i_13_.png;"AMD Ryzen 7-5800H - GeForce RTX 3060 Cấu hình chơi game và đồ họa đỉnh cao, cân mọi tựa game.|
Ram 8GB + 1 khe trống cho phép nâng cấp tối đa đến 32GB.|
Ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.|
Màn hình chống lóa, Full HD, tấm nền IPS, kích thước chuẩn 15.6 inch, tần số quét 165Hz mang lại trải nghiệm hình ảnh chân thật, sắc nét.|
Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái.|
Thiết kế vỏ nhựa cao cấp vô cùng cứng cáp, nặng 2.4 kg mang lại cảm giác cầm chắc tay.|
Năng lượng bất tận cả ngày với viên pin 4 Cell 80 WHr.|
Máy đi kèm Windows 11 bản quyền.";"Loại card đồ họa    NVIDIA GeForce RTX 3060 6GB GDDR6|
Dung lượng RAM    8GB|
Loại RAM    DDR4-3200Mhz|
Số khe ram    2 khe cắm tối đa 32GB|
Ổ cứng    512GB SSD M.2 2280 PCIe 3.0x4 NVMe|
Kích thước màn hình    15.6 inches|
Độ phân giải màn hình    1920 x 1080 pixels (FullHD)|
Hệ điều hành    Windows 11 Home SL|
Công nghệ màn hình    Tần số quét 165Hz, màn hình chống loá, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer|
Cổng giao tiếp    3x USB 3.2 Gen 1  1x USB-C 3.2 Gen 2   1x USB 3.2 Gen 1   1x USB-C 3.2 Gen 2   1x HDMI 2.1  1x Ethernet (RJ-45)  1x headphone / microphone combo jack|
Pin    4 Cell 80 WHr|";33990000;1;1
